genre	title	start	end	publisher	count	Quelle
Western	Colt Western	1971	1974	Pabel	90	goodoldwest.ch
Western	Colt Wildwest Roman	1968	1972	Scharper	97	goodoldwest.ch
Western	Conny Cöll	1951	1952	Kleinbuch Verlag	20	goodoldwest.ch
Western	Cowboy Jerry	1951	1951	R. Glöß	20	goodoldwest.ch
Western	Der Cowboy Roman	1951	1962	Masta	204	goodoldwest.ch
Western	Dan Berry	1951	1955	Arnold Verlag	10	goodoldwest.ch
Western	Dan Oakland	1976	1979	Zauberkreis	82	goodoldwest.ch
Western	Doc Holiday	1962	1964	Kelter	36	goodoldwest.ch
Western	El Paso	1968	1968	Schaper	20	goodoldwest.ch
Western	Erber Goldenerm Western	1977	1979	Erber & Luther	53	goodoldwest.ch
Western	Erber Western	1976	1978	Anne Erber	141	goodoldwest.ch
Western	Ferner Western	1983	1984	Kelter	36	goodoldwest.ch
Western	Land der harten Männer	1960	1961	Kelter	38	goodoldwest.ch
Western	Feuerross	1980	1981	Wolfgang Marken	38	goodoldwest.ch
Western	Flying Jack	1951	1953	Bastei	64	goodoldwest.ch
Western	Jack Slade	1999	2020	Bastei	900	goodoldwest.ch
Western	Jerry Gray	1951	1951	R. Glöß	20	goodoldwest.ch
Western	John Kirby	1997	2003	Bastei	298	goodoldwest.ch
Western	Kit Carson	1991	1991	Ganzbiller	28	goodoldwest.ch
Western	Redlight Ranch	2001	2002	Bastei	60	goodoldwest.ch
Western	Rex Hayes	1997	2000	Bastei	176	goodoldwest.ch
Western	Rio Concho	1990	1998	Edition Wild West	28	goodoldwest.ch
Western	Texas Marshal	2002	2008	Bastei	160	goodoldwest.ch
Western	Texas Wildwest	1963	1966	Werner Constantin	201	goodoldwest.ch
Western	Tom Prox	1950	1962	Uta	314	goodoldwest.ch
Western	Top Western	1962	1977	Indra	327	goodoldwest.ch
Western	Western-Express	2003	2005	Bastei	88	goodoldwest.ch
Western	Western-Legenden	2005	2007	Bastei	100	goodoldwest.ch
Western	Wyatt Earp	1962	1969	Kelter	270	goodoldwest.ch
Western	Grüner Wildwest Roman	1961	1961	Constantin	22	heftromanarchiv-g.jimdofree.com
Western	Die harten Vier	1982	1984	Kelter	44	romanhefte-info.de
SciFi	Zukunft Roman	1975	1975	Neuzeit	10	http://groschenhefte.net/
SciFi	Zeit-Kugel	1974	1978	Wolfgang Marken	90	http://groschenhefte.net/
SciFi	Der Weltraumfahrer	1922	1928	Semrau	8	http://groschenhefte.net/
SciFi	Utopia Kriminal	1956	1968	Pabel	26	http://groschenhefte.net/
SciFi	Utopia Zukunftsromane	1953	1968	Pabel	?	http://groschenhefte.net/
SciFi	Die Ufo-Akten	1996	1997	Bastei	25	http://groschenhefte.net/
SciFi	Die Terranauten	1971	1981	Bastei	99	http://groschenhefte.net/
SciFi	Terra Nova	1968	1971	Moewig	190	http://groschenhefte.net/
SciFi	Terra	1957	1968	Moewig	555	http://groschenhefte.net/
SciFi	Sternenfaust	2005	2012	Bastei	199	http://groschenhefte.net/
SciFi	Star Gate	?	?	Merkur	?	http://groschenhefte.net/
SciFi	Science Fiction	1966	1985	Zauberkreis	296	http://groschenhefte.net/
SciFi	Rex Corda	1966	1967	Bastei	38	http://groschenhefte.net/
SciFi	Ren Dhark	1966	1968	Kelter	98	http://groschenhefte.net/
SciFi	Ren Dhark (Projekt 99)	1991	1999	Mohlberg	35	http://groschenhefte.net/
SciFi	Perry Rhodan Olymp	2018	2018	Pabel	12	http://groschenhefte.net/
SciFi	Perry Rhodan Terminus	2017	2017	Pabel	12	http://groschenhefte.net/
SciFi	Perry Rhodan Mission Sol	2019	2019	Pabel	12	http://groschenhefte.net/
SciFi	Perry Rhodan Jupiter	2016	2016	Pabel	12	http://groschenhefte.net/
SciFi	Perry Rhodan Arkon	2016	2016	Pabel	12	http://groschenhefte.net/
SciFi	Perry Rhodan Action	2008	2009	Pabel	38	http://groschenhefte.net/
SciFi	Perry Rhodan	1961	2020	Pabel	3008	http://groschenhefte.net/
SciFi	Orion	1976	1984	Pabel	145	http://groschenhefte.net/
SciFi	Mission Mars	2005	2005	Bastei	12	http://groschenhefte.net/
SciFi	Mark Powers	1962	1963	Pabel	48	http://groschenhefte.net/
SciFi	UTR Luna	1957	1959	Walter Lehning	13	http://groschenhefte.net/
SciFi	Luna Utopia	1956	1960	Walter Lehning	41	http://groschenhefte.net/
SciFi	Galaxis	1958	1959	Moewig	15	http://groschenhefte.net/
SciFi	Erde 2000	1978	1978	Wolfgang Marken	44	http://groschenhefte.net/
SciFi	Comander Scott	1975	1976	Bastei	42	http://groschenhefte.net/
SciFi	Bad Earth	2003	2004	Saxonia	45	http://groschenhefte.net/
SciFi	Atlan	1969	1988	Pabel	850	http://groschenhefte.net/
SciFi	Science Fiction	1972	1974	Andromeda	65	http://groschenhefte.net/
SciFi	Abenteuer im Weltraum	1958	1959	Semrau	18	http://groschenhefte.net/
SciFi	Ad Astra	?	?	Hary Productions	122	https://www.sf-hefte.de/
SciFi	BunTES Abenteuer	2000	?	TES	36	https://www.sf-hefte.de/
Fantasy	Caine der dunkle Prophet	2000	2001	Basilisk	10	https://www.sf-hefte.de/
Abenteuer	Der Luftpirat	?	?	?	?	https://www.sf-hefte.de/
SciFi	Die Suche nach Dhum	?	?	Hary Productions	6	https://www.sf-hefte.de/
SciFi	Drei Welten	?	?	?	4	https://www.sf-hefte.de/
SciFi	Dust	2001	?	KayDesign	10	https://www.sf-hefte.de/
SciFi	Science Fiction	1976	1977	Erber	21	https://www.sf-hefte.de/
SciFi	Gaarson Gate	?	?	Hary Productions	77	https://www.sf-hefte.de/
SciFi	Gemini	1976	1977	Kelter	47	https://www.sf-hefte.de/
SciFi	Herr der Welten	?	?	Hary Productions	53	https://www.sf-hefte.de/
Horror	Ken Norton	2006	?	?	10	https://www.sf-hefte.de/
Abenteuer	Saramee	2005	?	Atlantis	11	https://www.sf-hefte.de/
SciFi	Uranus	?	?		18	https://www.sf-hefte.de/
Western	Lassiter	1972	2020	Bastei	2499	romanhefte-info.de
Abenteuer	Abenteuer aus aller Welt	1940	1941	Fischer	70	romanhefte-info.de
Abenteuer	Die Abenteuer des Arsene Lupin	1925	1927	Schreitersche Verlagsbuchhandlung	16	romanhefte-info.de
Abenteuer	Afrika Bücherei	1941	1942	Fichte	4	romanhefte-info.de
Western	Alaska Jim	1935	1939	Freya	226	romanhefte-info.de
Abenteuer	Amboshefte Serie 1	1916	1916	Nieerecker	22	romanhefte-info.de
Abenteuer	Amboshefte Serie 2	1917	1918	Müller & Königer	94	romanhefte-info.de
Western	Apachen	1920	1921	Diana	94	romanhefte-info.de
Abenteuer	Aufwärts-Jugend-Bücherei	1940	1945	Aufwärts-Verlag	98	romanhefte-info.de
Krieg	Aus großer Zeit	1933	1934	NVV	80	romanhefte-info.de
Abenteuer	Aus weiter Welt	1925	1940	Enßlin & Laiblin	151	romanhefte-info.de
Western	Buffalo Bill	1930	1933	Kühn	122	romanhefte-info.de
Abenteuer	Claude Duval	1907	1908	Eichler	46	romanhefte-info.de
Abenteuer	Claus Timm	1934	1935	Freya	19	romanhefte-info.de
Western	Daniel Boon	1920	1921	Diana	47	romanhefte-info.de
Krimi	Detektiv John Spurlock	1915	1916	Mignon	36	romanhefte-info.de
Krimi	Detektiv Robby IX	1935	1937	Freya	85	romanhefte-info.de
Abenteuer	Deutsche in aller Welt	1937	1938	Neuer Buchverlag	30	romanhefte-info.de
Abenteuer	Durch Wüstenglut und Urwald	1928	1929	VVK	23	romanhefte-info.de
Abenteuer	Erlebnis-Bücherei	1940	1945	Steininger	105	romanhefte-info.de
Abenteuer	Erlebnisse einsamer Menschen	1916	1920	Verlag moderne Lektüre,	128	romanhefte-info.de
Krieg	Erlebnisse deutscher Fremdenlegionäre	1914	1914	VVK	41	romanhefte-info.de
Abenteuer	Fahrten und Abenteuer	1925	1926	Deutsche Scholle	14	romanhefte-info.de
Western	Felsenherz der Trapper	1922	1923	Verlag moderner Lektüre	34	romanhefte-info.de
Abenteuer	Flieger-Abenteuer	1939	1939	Steiniger	6	romanhefte-info.de
Krimi	Das Forum	1943	1944	Hillger	5	romanhefte-info.de
Abenteuer	Frank Faber´s Abenteuer	1939	1941	Vaterhaus	124	romanhefte-info.de
Abenteuer	Fred Tarmun	1928	1929	Mignon	100	romanhefte-info.de
?	Fröhlich Bücher	1938	1938	Heinrich Beeken	28	romanhefte-info.de
Abenteuer	Gerstäcker	1942	1943	VMS	10	romanhefte-info.de
Abenteuer	Hans Stark, der Fliegerteufel	1914	1919	Pinkert	38	romanhefte-info.de
Abenteuer	Harry Piel	1920	1926	Speka	241	romanhefte-info.de
Abenteuer	Hein Class	1936	1941	Dietsch	158	romanhefte-info.de
Abenteuer	Die Helden der Wildnis	1908	1908	Urban	29	romanhefte-info.de
Abenteuer	Jack Franklin	1909	1910	Dresdner Roman-Verlag	41	romanhefte-info.de
Abenteuer	Jack Nelson	1925	1926	Mignon	30	romanhefte-info.de
Abenteuer	James Robertson	1919	1922	Monopol	136	romanhefte-info.de
Abenteuer	Jan Mayen	1936	1938	Bergmann	120	romanhefte-info.de
Western	Jesse James	1906	1907	Dresdner Roman-Verlag	28	romanhefte-info.de
Western	Jim Buffalo	1922	1923	Moderner Volksbüchereiverlag	30	romanhefte-info.de
Abenteuer	Junge Falken	1932	1932	Falken	8	romanhefte-info.de
Abenteuer	Kapitän Axel Holm´s Abenteuer	1919	1920	Blockhaus	18	romanhefte-info.de
Abenteuer	Kapitän Stürmer´s	1906	1908	Münchmeye	75	romanhefte-info.de
Abenteuer	Klaus Störtebecker (1)	1908	1909	VVK	60	romanhefte-info.de
Abenteuer	Klaus Störtebecker (2)	1932	1933	VVK	54	romanhefte-info.de
Krieg	Kleine Kriegshefte	1940	1941	Zentralverlag der NSDAP	12	romanhefte-info.de
Abenteuer	Kolonial-Bücherei	1940	1942	Steininger	88	romanhefte-info.de
Krieg	Kriegsbücherei der deutschen Jugend	1939	1945	Steiniger	156	romanhefte-info.de
Krieg	Der Krieg	1939	1940	Verlag für Militärgeschichte	8	romanhefte-info.de
Krieg	Kriegsbücherei der deutschen Jugend (2)	1942	1945	Steiniger	15	romanhefte-info.de
Abenteuer	Kurt Gafran	1922	1932	Ewald & Co	55	romanhefte-info.de
?	Der Leidensweg eines armen Mädchens	?	?	?	?	romanhefte-info.de
Krimi	Lord Lister (2)	1908	1911	VVK	110	romanhefte-info.de
Krimi	Lord Lister (3)	1932	1935	NVV	83	romanhefte-info.de
Krimi	Manulescu	1927	1928	Dietsch und Speka	27	romanhefte-info.de
Krimi	Minx	1908	1908	Neuer Verlag	10	romanhefte-info.de
Krimi	Der neue Nick Carter	1929	1930	Bergmann	44	romanhefte-info.de
Krimi	Der neue Excentric Club	1920	1927	Mignon	534	romanhefte-info.de
Liebe	Der neue Roman	1939	1940	Werner & Co	25	romanhefte-info.de
Krimi	Nick Carter	1930	1932	Kühn	50	romanhefte-info.de
Abenteuer	Norbert Falk	1931	1933	Mignon	105	romanhefte-info.de
Western	Oberst Longarm	1906	1907	Deutscher Volksliteraturverlag	15	romanhefte-info.de
Abenteuer	Olaf K. Abelsen	1929	1933	Verlag moderner Lektüre	50	romanhefte-info.de
Abenteuer	Reo Ratt	1924	1925	Mignon	80	romanhefte-info.de
Abenteuer	Rinaldo Rinaldini	?	?	?	99	romanhefte-info.de
Abenteuer	Robert Kraft	?	?	?	46	romanhefte-info.de
Abenteuer	Rolf Rodelwalds Reise um den Erdball	1908	1909	NVV	50	romanhefte-info.de
Abenteuer	Salto Mortale	1937	1938	NVV	31	romanhefte-info.de
Abenteuer	Schönste Geschichten aus Brehms Tierleben	1929	1932	Merker	60	romanhefte-info.de
Abenteuer	Stolle Romane	1941	1942	Stolle	3	romanhefte-info.de
Western	Sturmvögel	1939	1941	Freya	81	romanhefte-info.de
Abenteuer	Sun Koh	1933	1936	Bergmann	150	romanhefte-info.de
Abenteuer	Tatsachen	1939	1941	Freya	87	romanhefte-info.de
Abenteuer	Teddy, der Schatzjäger	1908	1908	BBV	8	romanhefte-info.de
Western	Tex Bulwer	1936	1938	NVV	80	romanhefte-info.de
Western	Texas Jack (1)	1906	1911	NVV	215	romanhefte-info.de
Western	Texas Jack (2)	1930	1932	VVK	120	romanhefte-info.de
Western	Texas Jack (3)	1932	1933	VVK	75	romanhefte-info.de
Abenteuer	Till Marks Abenteuer	1921	1925	Universal	18	romanhefte-info.de
Abenteuer	Timm Fox	1921	1921	Rekord	48	romanhefte-info.de
Krimi	Tom Shark	1929	1939	Freya	553	romanhefte-info.de
Krimi	Wahre Detektiv Geschichten	1930	1933	Selle-Eysler	60	romanhefte-info.de
Abenteuer	Welt Filmroman	1933	1933	Junge Dame	5	romanhefte-info.de
Krieg	Welt-Pirat England	1939	1942	Uhlmann	20	romanhefte-info.de
Abenteuer	Winoga	1921	1924	VVK	90	romanhefte-info.de
Abenteuer	Wolf Greif	1939	1941	Freya	61	romanhefte-info.de
